label,num
petunia,258
passion flower,251
wallflower,196
water lily,194
watercress,184
rose,171
frangipani,166
foxglove,162
cyclamen ,154
lotus,137
hibiscus,131
sword lily,130
bougainvillea,128
barbeton daisy,127
thorn apple,120
geranium,114
clematis,112
bishop of llandaff,109
pink-yellow dahlia?,109
cape flower,108
morning glory,107
anthurium,105
californian poppy,102
azalea,96
poinsettia,93
primula,93
common dandelion,92
camellia,91
fritillary,91
colt's foot,87
snapdragon,87
columbine,86
bird of paradise,85
purple coneflower,85
sweet william,85
wild pansy,85
mexican petunia,82
canna lily,82
peruvian lily,82
artichoke,78
gazania,78
hippeastrum ,76
ruby-lipped cattleya,75
pelargonium,71
buttercup,71
lenten rose,67
marigold,67
orange dahlia,67
gaura,67
bee balm,66
mallow,66
stemless gentian,66
english marigold,65
bromelia,63
magnolia,63
desert-rose,63
tree poppy,62
osteospermum,61
sunflower,61
hard-leaved pocket orchid,60
daffodil,59
pincushion flower,59
tree mallow,58
trumpet creeper,58
giant white arum lily,56
great masterwort,56
sweet pea,56
japanese anemone,55
bearded iris,54
black-eyed susan,54
windflower,54
carnation,52
silverbush,52
cautleya spicata,50
balloon flower,49
blanket flower,49
king protea,49
oxeye daisy,49
yellow iris,49
blackberry lily,48
spear thistle,48
ball moss,46
love in the mist,46
monkshood,46
garden phlox,45
globe thistle,45
tiger lily,45
alpine sea holly,43
red ginger,42
spring crocus,42
corn poppy,41
siam tulip,41
globe-flower,41
grape hyacinth,41
toad lily,41
bolero deep blue,40
mexican aster,40
moon orchid,40
canterbury bells,40
pink primrose,40
prince of wales feathers,40
fire lily,40
