petunia,51
passion flower,77
wallflower,46
water lily,73
watercress,89
rose,74
frangipani,81
foxglove,94
cyclamen ,88
lotus,78
hibiscus,83
sword lily,43
bougainvillea,95
barbeton daisy,41
thorn apple,75
geranium,58
clematis,82
bishop of llandaff,56
pink-yellow dahlia?,60
cape flower,37
morning glory,76
anthurium,80
californian poppy,65
azalea,72
poinsettia,44
primula,53
common dandelion,50
camellia,96
fritillary,23
colt's foot,12
snapdragon,11
columbine,84
bird of paradise,8
purple coneflower,17
sweet william,30
wild pansy,52
mexican petunia,98
canna lily,90
peruvian lily,18
artichoke,29
gazania,71
hippeastrum ,91
ruby-lipped cattleya,36
pelargonium,55
buttercup,48
lenten rose,40
marigold,47
orange dahlia,59
gaura,57
bee balm,92
mallow,97
stemless gentian,28
english marigold,5
bromelia,99
magnolia,87
desert-rose,85
tree poppy,70
osteospermum,66
sunflower,54
hard-leaved pocket orchid,2
daffodil,42
pincushion flower,22
tree mallow,86
trumpet creeper,101
giant white arum lily,20
great masterwort,38
sweet pea,4
japanese anemone,62
bearded iris,68
black-eyed susan,63
windflower,69
carnation,31
silverbush,64
cautleya spicata,61
balloon flower,19
blanket flower,100
king protea,13
oxeye daisy,49
yellow iris,15
blackberry lily,102
spear thistle,14
ball moss,93
love in the mist,33
monkshood,9
garden phlox,32
globe thistle,10
tiger lily,6
alpine sea holly,35
red ginger,24
spring crocus,67
corn poppy,26
siam tulip,39
globe-flower,16
grape hyacinth,25
toad lily,79
bolero deep blue,45
mexican aster,34
moon orchid,7
canterbury bells,3
pink primrose,1
prince of wales feathers,27
fire lily,21
